SAMPLE_NAME	OUT_NAME	GCS_PATHS
EcoliTrainingRun	EcoliTrainingRun.json	Ecoli_Training_Run/
SmallTestData	SmallTestData.json	SmallTestData/
HG00512	CHS_HG00512.json	CHS_HG00512/
HG00513	CHS_HG00513.json	CHS_HG00513/
HG00514	CHS_HG00514.json	CHS_HG00514/
HG02982	GWD_HG02982.json	GWD_HG02982_CLR/, Insert_Size_Titration/HG02982_6-7kb/, Insert_Size_Titration/HG02982_7-8kb/, Insert_Size_Titration/HG02982_8-9kb/
HG02983	GWD_HG02983.json	GWD_HG02983/
HG02984	GWD_HG02984.json	GWD_HG02984/
HCC1954N	HCC1954N.json	HCC1954N_CORRECT/
HCC1954T	HCC1954T.json	HCC1954T/
NA12878	CEU_NA12878.json	NA12878rep1/, NA12878rep2/
NA12891	CEU_NA12891.json	NA12891/
NA12892	CEU_NA12892.json	NA12892/
HG00731	PUR_HG00731.json	PUR_HG00731/
HG00732	PUR_HG00732.json	PUR_HG00732/
HG00733	PUR_HG00733.json	PUR_HG00733/
RGP_94_1	RGP_94_1.json	RGP_94_1/
RGP_94_2	RGP_94_2.json	RGP_94_2_LowYield/, RGP_94_2_Rework/
RGP_94_3	RGP_94_3.json	RGP_94_3_LowYield/, RGP_94_3_Rework/
SM-IIU4K	Talkowski_SM-IIU4K.json	Talkowski_22701_SM-IIU4K/
SM-IIU4L	Talkowski_SM-IIU4L.json	Talkowski_GM9197F_SM-IIU4L/
SM-IIU4M	Talkowski_SM-IIU4M.json	Talkowski_JFG35878F_SM-IIU4M/, Talkowski_JFG35878F_SM-IIU4M_RESEQ/
SM-IIU4J	Talkowski_SM-IIU4J.json	Talkowski_JFG36815F_SM-IIU4J/
SM-IBA3O	Talkowski_SM-IBA3O.json	Talkowski_MIN36192_SM-IBA3O/
SM-IBA3L	Talkowski_SM-IBA3L.json	Talkowski_MIN39144_SM-IBA3L/
VS_ABC012_1_1	VS_ABC012_1_1.json	VS_ABC012_Trio/VS_ABC012_1_1_proband/
VS_ABC012_2_1	VS_ABC012_2_1.json	VS_ABC012_Trio/VS_ABC012_2_1_father/
VS_ABC012_3_1	VS_ABC012_3_1.json	VS_ABC012_Trio/VS_ABC012_3_1_mother/
NA19238	YRI_NA19238.json	YRI_NA19238/
NA19239	YRI_NA19239.json	YRI_NA19239/
NA19240	YRI_NA19240.json	YRI_NA19240/
